"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"Bluejay.IPA..2012.08.01.version.";2;1,065;1,016;45;6,4;4
"Christmas.IPA.1";2;1,056;1,008;49;6,3;6
"X2015.Wet.IPA";2;1,068;1,016;69;6,8;3
"Black.Citra.IPA.1";2;1,066;1,017;77;6,4;38
"Jester.King.Wytchmaker.Clone..Ditto.";2;1,062;1,016;78;6,1;7
"Figurehead.IPA";2;1,075;1,018;63;7,5;2
"Flying.Tortoise..from.ratebeer.com.";2;1,068;1,016;80;6,8;7
"T√.kete.Hvit.IPA";2;1,065;1,009;64;7,3;4
"Simcoe.IPA.2";2;1,067;1,02;37;6,2;4
"Lucy.in.the.Sky.with.Dankness..Modus.Hoperandi.Clone.";2;1,069;1,017;75;6,8;13
"X.30.DIPA";2;1,083;1,025;201;7,6;8
"Blackjack";2;1,068;1,016;67;6,7;31
"Three.Fathoms";2;1,085;1,01;73;9,8;16
"Black.Eye.Rye";2;1,077;1,015;46;8,1;32
"Knights.of.Columbus.IPA";2;1,067;1,017;102;6,6;7
"Inglewood.IPA..Culver.City.Homebrewing.";2;1,072;1,017;78;7,1;8
"Citra.IPA.1";2;1,061;1,009;53;6,9;3
"Fields.of.Black.N..Rye";2;1,063;1,013;66;6,6;25
"Resolution.Rye.IPA";2;1,065;1,015;51;6,5;18
"MLK.IPA";2;1,071;1,017;66;7,2;35
"HITNOL";2;1,075;1,02;64;7,3;6
"Victor.IPA.Collaberation";2;1,072;1,019;55;7;10
"IPA..26A";2;1,072;1,015;69;7,5;6
"Svartediket.Black.IPA.Clone..7.fjell.";2;1,066;1,015;71;6,6;19
"Grandma.s.Grapefruit.IPA";2;1,069;1,017;49;6,8;5
"Summer.Wheat";1;1,055;1,013;12;5,5;3
"Brewers.Best.India.Pale.Ale";2;1,063;1,016;100;6,2;10
"IPA.5";2;1,08;1,027;115;7;5
"Redheaded.Irishman.in.Space.w..Jalapenos";4;1,07;1,02;98;6,5;16
"Chinook.IPA.3";2;1,061;1,015;39;6;6
"Impatient.IPA";2;1,077;1,023;63;7;11
"DLK.OOH..Organic.IPA";2;1,067;1,01;65;7,5;8
"Guy.petite.blonde";2;1,085;1,013;46;9,5;5
"Luck.of.the.Fryrish";4;1,059;1,016;20;5,6;16
"NOMS";1;1,056;1,015;18;5,4;5
"Poppy.Remembrance";2;1,059;1,018;101;5,4;8
"Punk.Afro.IPA";2;1,054;1,008;45;6,1;32
"Deep.Depths.IPA";2;1,069;1,014;143;7,2;5
"Simorial.IPA";2;1,05;1,011;60;5,1;7
"ChaiPA";2;1,073;1,018;48;7,1;7
"Dark.wheat";1;1,057;1,015;12;5,6;7
"IPA.6";2;1,055;1,016;53;5;7
"X039...Fast.Tug..on.a.card.from.LHBS.";2;1,077;1,02;91;7,4;10
"IPA.7";2;1,076;1,018;51;7,6;10
"Citra.Amarillo.ipa";2;1,066;1,018;65;6,3;10
"Hefe.2";1;1,053;1,013;17;5,2;3
"Juicy.IPA.1";2;1,066;1,018;53;6,3;3
"Stone.IPA.Clone.1";2;1,075;1,019;73;7,3;4
"Wuyang.IPA.1.1";2;1,062;1,015;58;6,1;4
"Bull.Z.Bot.IPA.2";2;1,068;1,016;67;6,7;3
"Big.Fish";2;1,079;1,019;74;7,9;10
"Experiment.314.Grapefruit.Red.Ale";4;1,064;1,018;51;6;12
"HIPAweizen";2;1,064;1,017;18;6,2;3
"Clockwork";1;1,055;1,014;14;5,4;4
"Bells.Almost.2.Hearted.Ale";2;1,064;1,016;60;6,3;5
"Fine.Mountain.Black.IPA";2;1,066;1,016;48;6,6;31
"Black.IPA.2";2;1,062;1,017;44;5,9;33
"The.Centinal";2;1,073;1,015;117;7,6;5
"Old.School.House.Pilsner";3;1,05;1,014;53;4,8;4
"Wide.Eye.PA.by.David.West";2;1,066;1,016;77;6,5;5
"SLO.Session.Ale";2;1,038;1,012;54;3,4;8
"Marmalade.Skies";2;1,064;1,009;42;7,2;3
"Can.t.Sett.er.Down";4;1,055;1,016;19;5,2;12
"Galaxi.Citra.IPA";2;1,066;1,012;61;7,1;36
"Sweetwater.IPA.clone..8.";2;1,062;1,009;61;7;6
"Wholly.Citra";2;1,07;1,016;89;7;6
"American.Apple.IPA";2;1,066;1,01;68;7,3;7
"Hoppy.Red";4;1,078;1,022;25;7,3;13
"Conway.s.Irish.Ale.Clone";4;1,062;1,017;22;5,8;12
"All.Day.IPA.Clone";2;1,049;1,012;45;4,9;5
"Amarillo.Single.Hop.IPA";2;1,08;1,02;58;7,9;4
"Pliny.the.toddler.No.sparge";2;1,038;1,011;52;3,5;1
"M.80.IPA.MoreBeer.Kit";2;1,072;1,019;73;6,9;5
"HopBomb";2;1,061;1,013;48;6,4;5
"Filter.Buster...Tropical.edition";2;1,076;1,016;42;7,8;3
"IPA.8";2;1,059;1,016;81;5,6;7
"Srobiles.Amarillus";2;1,075;1,018;67;7,6;5
"Zombie.Dust.Partial.Mash.Clone";2;1,06;1,019;45;5,4;9
"Black.IPA.v2.1";2;1,059;1,018;51;5,4;20
"Midnight.Ryed.Clone";2;1,072;1,017;75;7,2;34
"MONK.PARAKEET.REFUGE.IPA";2;1,056;1,014;73;5,5;6
"X1st.Go..Nectar.Ale";2;1,052;1,012;146;5,2;10
"West.Coast.Pale.Ale";2;1,058;1,014;63;5,8;9
"Black.IPA..Northern.Brewer.";2;1,081;1,021;83;7,8;29
"Ziggy.Spacedust.II";2;1,064;1,019;58;5,9;4
"Vic.Secret.IPA";2;1,061;1,015;57;6,1;5
"Summer.Shandy.1";1;1,051;1,012;13;5,1;3
"All.Day.IPA.Clone.1";2;1,048;1,012;53;4,7;5
"Mosaic.IPA";2;1,063;1,014;64;6,4;7
"Fresh.Squeezed.1";2;1,06;1,012;67;6,2;9
"Twin.Peaks.Kilt.Lifter";4;1,06;1,014;27;6;15
"Valencia.Orange.Hefeweissen";1;1,044;1,011;12;4,3;4
"Golden.Hop.Dam";2;1,068;1,018;59;6,6;14
"The.Simsner";3;1,047;1,01;27;4,9;4
"SN.Ruthless.Rye";2;1,067;1,012;50;7,2;13
"Far.Darrig.Irish.Red.Ale";4;1,052;1,013;22;5,1;14
"Amarillo.IPA";2;1,059;1,018;60;5,4;11
"X.5.Brehm.House.IPA";2;1,064;1,017;57;6,2;11
"Nirvana..2012_10_02.";2;1,064;1,017;69;6,2;9
"Denny.Conn.s.RIPA";2;1,069;1,017;56;6,9;9
"drink.your.wheaties...part.2";1;1,051;1,013;12;4,9;4
"Winter.IPA.Dec.15";2;1,058;1,012;61;6;11
"X.6.Single.Hop.Nelson.Sauvin";2;1,069;1,017;53;6,8;6
"Dead.Ringer.IPA.4";2;1,064;1,013;55;6,8;6
"Ranger.ish.Clone";2;1,058;1,013;69;6;10
"NB.Permafrost.White.IPA";2;1,064;1,015;57;6,4;6
"Indochina.Pale.Ale..Session.version.";2;1,062;1,017;60;5,9;12
"Winton.Razi";1;1,048;1,011;13;4,8;3
"X3cp2..1c";2;1,066;1,012;46;7,1;8
"NORTHENDER.IPA.III";2;1,068;1,018;62;6,6;10
"Racer.5.Clone";2;1,059;1,015;53;5,7;6
"Krampus..Christmas.IPA.";2;1,067;1,013;69;7,2;8
"Bridgeport.IPA.1";2;1,056;1,014;62;5,5;8
"Hearts.Squared.v2";2;1,058;1,018;61;5,2;7
"Aloysius.Amber.Rye..2012.08.05.version.";2;1,064;1,016;50;6,3;10
"ST..PAUL.S.EASTER.REIZEN.WEIZEN";1;1,051;1,013;14;5;5
"Pamplemousse.IPA.take.1";2;1,063;1,015;42;6,3;7
"HIP.Ilaniwai.IPA";2;1,056;1,015;56;5,4;9
"dead.ringer.ipa";2;1,072;1,018;61;7,1;10
"Dogfish.Head.60.Minute.Clone";2;1,064;1,015;56;6,4;9
"summer.hop";2;1,067;1,017;63;6,6;6
"German.Pilsner.4";3;1,046;1,012;31;4,5;4
"Red.Menace..MLK.day.edition";2;1,064;1,016;60;6,3;11
"American.IPA.4";2;1,069;1,017;53;6,7;9
"Delirium.s.Lost.IPA";2;1,062;1,016;60;6;15
"Bucketgame.Weiss";1;1,051;1,012;12;5,1;3
"Birthday.IPA";2;1,062;1,012;45;6,6;7
"EPA";2;1,06;1,016;61;5,8;14
"Richard.s.Hefeweizen";1;1,052;1,013;14;5,1;3
"Ranger.IPA.Extract.Clone";2;1,065;1,017;60;6,3;12
"Triple.G.IPA";2;1,057;1,015;68;5,5;9
"Inaugural.IPA";2;1,061;1,016;63;5,8;9
"Averagely.Perfect";2;1,062;1,014;59;6,4;7
"Grape.a.weizen";1;1,049;1,012;11;4,9;3
"Judas.IPA..Draft.";2;1,061;1,014;57;6,1;7
"Birthday.Brewday";2;1,058;1,015;60;5,6;11
"Munich.I.Two.Hearted";2;1,067;1,018;61;6,5;7
"Brewmeister.Lars..Hefeweizen";1;1,05;1,013;12;4,8;2
"Gibson.IPA";2;1,07;1,017;67;6,9;8
"Har√.y";4;1,056;1,011;26;5,9;16
"Molly.Beer";4;1,046;1,013;20;4,3;15
"Big.Orange.IPA";2;1,073;1,017;51;7,3;8
"Palilalia.IPA";2;1,059;1,015;44;5,8;14
"Heater.IPA";2;1,067;1,016;56;6,6;12
"Denny.s.Rye.IPA.1";2;1,065;1,018;59;6,3;10
"Pap.s.Pils.SMaSH";3;1,049;1,013;30;4,7;2
"Belgian.IPA.2";2;1,062;1,017;43;5,9;8
"MooBrew.Nugget.IPA.12.18.11";2;1,059;1,014;64;5,9;8
"R√.yslimoen.Rug.IPA.BB30";2;1,061;1,014;66;6,1;8
"X2016.Irish.Red.Ale";4;1,051;1,014;27;4,9;17
"Freya.Red";4;1,052;1,014;24;5;17
"SMaSH...Cascade...Vienna";2;1,069;1,016;57;6,9;7
"Training.wheels.IPA";2;1,06;1,014;54;6;11
"India.Street.Pale.Ale";2;1,066;1,015;68;6,8;9
"The.Force";2;1,056;1,017;62;5,2;10
"Hopster..Yooper.s.DFH.60.min.clone.";2;1,071;1,014;68;7,5;9
"Gemini.III";2;1,06;1,012;57;6,3;14
"X.5.Single.Hop.Chinook";2;1,069;1,017;67;6,8;6
"Summer.IPA";2;1,06;1,016;63;5,8;9
"Ditch.Pidgeon.IPA";2;1,057;1,014;66;5,6;6
"Hot.Mellon";2;1,064;1,014;59;6,5;7
"Husband.and.Weiss";1;1,051;1,013;11;5;4
"X.114.Clone..2011.06.22.version.";2;1,068;1,017;64;6,7;9
"IPA.Hop.Experiment.Simcoe";2;1,059;1,014;48;5,9;7
"First.IPA";2;1,065;1,017;48;6,2;6
"Penguin.Tamer.IPA";2;1,058;1,014;48;5,8;8
"Arbor.Harvest.Ale";2;1,065;1,012;52;6,9;6
"X60.Minute.II";2;1,068;1,016;55;6,8;9
"Little.Ring.India.Pale.Ale";2;1,071;1,017;63;7,1;7
"Citra20";2;1,058;1,013;59;6;9
"Wild.Granny.IPA";2;1,063;1,016;65;6,2;11
"IPA.test..Chinook";2;1,064;1,014;54;6,6;9
"X.19.Kaptein.Kaos";2;1,058;1,012;68;6;8
"Neptune.s.Wrath";2;1,072;1,017;53;7,2;10
"Harold.s.Heffeweizen";1;1,05;1,014;8;4,8;3
"Hansen.Blend.IPA";2;1,064;1,013;67;6,7;6
"IPA.test..Challenger";2;1,064;1,014;45;6,6;9
"Dreaming.of.IPA";2;1,062;1,016;55;6;9
"AIPA";2;1,064;1,014;61;6,6;12
"Thegarden.Pilsner";3;1,05;1,011;29;5;3
"India.Wit.Ale..Group.Brew.";2;1,065;1,016;47;6,4;9
"Annoying.Sears.Salesman..A.S.S...IPA";2;1,066;1,017;63;6,4;8
"IPA.3";2;1,068;1,017;66;6,6;14
"Special.Oak.Amber.Ale";2;1,065;1,012;44;7;14
"Orangutan";2;1,068;1,017;69;6,7;12
"Hefeweizen.trial.1";1;1,046;1,011;15;4,5;3
"Mr..Wobly.IPA..2011.08.9.version.";2;1,068;1,018;65;6,6;11
"The.Hef";1;1,046;1,012;13;4,5;3
"Hopsicle.White.IPA";2;1,071;1,016;51;7,3;6
"Citra.IPA.2";2;1,071;1,017;45;7,1;6
"In.Your.EyePA";2;1,059;1,015;59;5,8;10
"Dead.Ringer.Full.Boil";2;1,069;1,01;55;7,7;9
"Oatmeal.IPA.plus.simcoe";2;1,066;1,016;65;6,6;6
"Goodale.IPA";2;1,069;1,017;58;6,8;12
"Grain.Clean.Up";4;1,046;1,014;22;4,2;17
"Rico.s.Switch.Hefe..Miami.Weisse..Gab.s.Bday.Beer";1;1,051;1,013;13;5;4
"South.Street.IPA";2;1,068;1,018;63;6,6;6
"Pilsner.1.0";3;1,046;1,012;25;4,5;3
"Hagges.40.√.rs.krise.IPA";2;1,058;1,015;48;5,7;7
"Citra.IPA.3";2;1,066;1,016;48;6,7;9
"Recipe.created.2012.12.01.at.20.29.40.UTC";2;1,057;1,015;50;5,5;7
"Temnor.Weizen";1;1,051;1,013;9;5;3
"F.Bomb";3;1,048;1,012;28;4,8;4
"Another.IPA";2;1,067;1,016;51;6,7;9
"Mango.Lemongrass.IPA";2;1,072;1,01;52;8;9
"First.try";2;1,065;1,016;63;6,4;10
"Summer.PIPA";2;1,069;1,016;42;6,9;7
"Virgin.IPA";2;1,061;1,015;64;6;8
"Ska.Modus.Hoperandi";2;1,067;1,017;67;6,6;12
"Hop.Snob.IPA";2;1,07;1,017;49;6,9;9
"Deutsches.Pilsener";3;1,049;1,012;36;4,8;3
"X.Merica.IPA";2;1,065;1,015;69;6,5;10
"Brrr.clone";2;1,067;1,018;56;6,4;13
"Oh.my.damn..IPA";2;1,071;1,018;55;7;7
"X.8.Weizen.II";1;1,052;1,013;11;5,1;4
"Joppin..Jalapeno";2;1,067;1,017;61;6,5;10
"Weihenstephan.s.Better.Looking.Brother";1;1,05;1,013;12;4,9;4
"Greek.Hop.Freak..2011.03.02.version.";2;1,066;1,018;67;6,3;8
"X.9.SoBoRo.IPA";2;1,071;1,016;62;7,2;7
"Suds..Bee.So.Honey.IPA";2;1,067;1,017;57;6,5;6
"Hoppy.Fat.Tire";2;1,059;1,016;54;5,6;8
"Goodbye.Auckland";2;1,064;1,015;57;6,4;11
"X.quot.Aussie.quot..Hop.Beer";2;1,064;1,017;66;6,2;8
"Fruit.Nuke";2;1,066;1,015;57;6,6;8
"Brewers.Best.PSA.IPA";2;1,062;1,017;53;6;7
"SMaSH...Galaxy";2;1,066;1,015;61;6,6;8
"Centennial.IPA.1";2;1,068;1,016;47;6,8;7
"HiLarryous..1";2;1,063;1,018;48;5,9;9
"Session.IPA.1";2;1,064;1,015;41;6,4;7
"space.dust.inspired";2;1,071;1,017;63;7,1;6
"Celebration..20101230.";2;1,065;1,016;61;6,4;12
"X2011.Irish.American.Red";4;1,045;1,012;23;4,3;11
"This.ale.hopped.in.a.bottle...";2;1,056;1,015;69;5,4;11
"Nugget.Munich.IPA";2;1,06;1,014;57;6;8
"wei.zo.serious...smoked.";1;1,049;1,012;15;4,8;3
"Bell.s.Two.Hearted.Clone.1";2;1,063;1,016;47;6,2;6
"Mrs..Ryan.s.Hefeweizen";1;1,052;1,013;13;5;4
"Resurrection.Ale";1;1,052;1,013;14;5,1;3
"Big.Red.IPA";2;1,06;1,016;57;5,8;14
"Brewday.IPA";2;1,07;1,01;66;7,8;10
"NBA.SMASH...Briess.Special.Roast";2;1,064;1,017;48;6,2;9
"Pale.Wolf";2;1,067;1,016;65;6,7;11
"Newcastle.IPA.Citra";2;1,066;1,016;70;6,6;7
"Fresh.Squeezed.IPA..inspired.by.Deschutes.";2;1,067;1,016;58;6,7;8
"Smooth.Groove.APA..a.great.end.for.those.days.with.alot.going.on.";2;1,058;1,016;69;5,5;8
"Strawberry.Wheat.1";1;1,048;1,012;14;4,8;3
"First.Try.IPA";2;1,058;1,012;64;6,1;14
"Mango.Madness..2";2;1,057;1,015;49;5,5;8
"El.Hefe.2.0";1;1,052;1,013;14;5;3
"Wei.Not.Weizen";1;1,051;1,014;13;4,8;3
"Jamil.s.Evil.Twin";2;1,068;1,017;47;6,7;15
"Cucamonga.Peak.IPA";2;1,063;1,015;55;6,3;6
"Gose.nummer.1";1;1,046;1,012;10;4,5;3
"Square.Knot";2;1,068;1,017;41;6,7;10
"Earl.Bender.Ale..9";2;1,065;1,017;54;6,2;11
"Beast.of.the.East";2;1,072;1,016;68;7,4;6
"Jamil.s.Evil.Twin.1";2;1,068;1,017;47;6,7;15
"Brygg..6.Weizen.3333";1;1,046;1,012;12;4,5;3
"X20.minute.American.IPA";2;1,06;1,016;56;5,8;14
"Space.Cowboy.II";2;1,066;1,018;62;6,3;8
"RB.s.Amarillo.IPA";2;1,068;1,017;50;6,7;11
"Wild.IPA.SH.NS";2;1,069;1,016;56;7;8
"Overdrive.Ale";2;1,066;1,018;61;6,3;7
"SN.Celebration.Ale.Clone";2;1,069;1,01;65;7,7;12
"X08M.Thrown.Together.IPA";2;1,063;1,016;60;6,2;10
"Untitled.Weizen.Weissbier.149086";1;1,048;1,012;14;4,6;4
"Solar.Flare.APA";2;1,057;1,015;62;5,5;6
"The.Wife.Beer";2;1,059;1,016;68;5,7;11
"Hefeweizen.2";1;1,05;1,013;12;4,8;2
"Citrusipa";2;1,058;1,012;52;6;7
"Commissioner.Gordon";2;1,067;1,017;46;6,6;9
"Hoppily.Ever.After.Pale.Ale";2;1,056;1,014;57;5,5;6
"Willy.Nilly";2;1,065;1,018;58;6,2;6
"Summit.IPA";2;1,06;1,014;57;6;14
"Special.for.Crawfish.boil";2;1,057;1,015;49;5,5;6
"Mike.s.5th.Anniversary.IPA";2;1,067;1,016;56;6,7;6
"IPA.VI";2;1,069;1,017;56;6,8;9
"Resurrection.Red";4;1,045;1,011;26;4,5;12
"MC.2.IPA..Magnum..Cascade..Citra.";2;1,061;1,015;56;6,1;12
"IPA.9";2;1,057;1,013;59;5,8;7
"Cascade.IPA.6";2;1,071;1,018;61;7;7
"All.Amarillo.IPA";2;1,063;1,015;66;6,4;11
"Deadhead.IPA";2;1,072;1,015;56;7,5;14
"Alpha.Wolf.Rye.IPA";2;1,062;1,015;65;6,2;9
"Honey.Wheat";1;1,046;1,011;9;4,5;7
"The.Ipa";2;1,069;1,014;69;7,2;6
"Le.Magic.Weizen";1;1,05;1,013;14;4,9;3
"Belgian.Rye.IPA";2;1,07;1,017;65;6,9;12
"X174th...Interurban.IPA.10.12.14";2;1,057;1,013;58;5,8;7
"IPA.test..Cascade";2;1,064;1,014;44;6,6;9
"Deutschamerikaner.Wheat";1;1,052;1,013;14;5,1;4
"Irish.Migrant...Fresh.Off.the.Boat...Fresh.Hopped.Irish.Red.";4;1,047;1,013;25;4,4;13
"Maddox.Fish.IPA";2;1,069;1,016;61;7;10
"Fall.2015.IPA";2;1,07;1,016;52;7;13
"My.Bell.s.Two.Hearted.Clone..2010.06.21.version...alt.";2;1,063;1,017;66;6;7
"Dank.Amber";2;1,071;1,018;64;7;14
"Windbuche.Weissen";1;1,05;1,012;9;5;8
"Schiller.s.IPA";2;1,057;1,014;50;5,6;9
"Farmstead.Coffee.Porter";1;1,051;1,014;12;4,9;3
"Untitled.American.IPA.153428";2;1,06;1,015;55;5,9;11
"My.Grolsch";3;1,05;1,012;28;4,9;4
"Sunny.day.IPA";2;1,065;1,015;65;6,5;11
"Citrus.weizen";1;1,051;1,013;13;5;3
"CCCP";2;1,067;1,017;63;6,6;15
"Weissbier.Attempt..1";1;1,052;1,013;13;5,1;3
"Red.Alert";4;1,047;1,011;26;4,6;12
"MIPA";2;1,062;1,01;55;6,7;7
"Centennial.IPA.2";2;1,069;1,016;69;7;9
"Hoptopolis";2;1,071;1,017;56;7,1;12
"Munich.Simcoe.SMaSH";2;1,057;1,014;46;5,6;9
"AHS.Greenbelt.IPA";2;1,07;1,018;56;6,8;10
"yea";2;1,067;1,017;61;6,5;12
"Neighbor.IPA";2;1,063;1,017;56;6,1;13
"IPA.Project...Northern.Brewer";2;1,061;1,016;50;5,9;9
"mind.over.manners";2;1,073;1,015;48;7,6;8
"Dead.Ringer";2;1,069;1,017;64;6,8;9
"PILS..Hallertau.";3;1,048;1,01;37;4,9;3
"Willie.s.Triple.Six.2012";4;1,053;1,014;20;5,1;18
"Village.Idiot";2;1,067;1,018;57;6,4;6
"Galaxy.Lager";2;1,06;1,016;49;5,7;6
"SimAmo.Ale";2;1,073;1,018;57;7,2;6
"Copernicus.Red.Ale";2;1,062;1,014;52;6,2;15
"TNT.s.Centennial.Ale";2;1,064;1,017;61;6,2;7
"AleTron";2;1,066;1,014;55;6,8;8
"Ron.s.IPA..all.grain.";2;1,068;1,018;70;6,6;8
"Match.Red";4;1,056;1,013;22;5,6;17
"Amarillo.IPA.1";2;1,066;1,017;68;6,4;13
"DanK.IPA.V";2;1,065;1,016;52;6,4;6
"Centennial.IPA.II";2;1,057;1,015;49;5,5;9
"Hoppiness.is.an.IPA";2;1,074;1,017;49;7,4;6
"Ingrid.s.Brew";1;1,048;1,013;12;4,6;3
"Grapefruit.IPA.2";2;1,072;1,016;62;7,4;6
"Camosack.IPA";2;1,068;1,017;64;6,6;6
"First.Red.Ale.Try";4;1,047;1,011;26;4,8;11
"X.5.Mosaic.IPA";2;1,069;1,01;57;7,7;9
"Cascade.IPA.7";2;1,066;1,018;57;6,3;11
"SMASH.2013";1;1,052;1,013;9;5,1;4
"potential.ipa";2;1,059;1,014;68;5,9;9
"McNulty.Hefe";1;1,045;1,012;12;4,4;3
"CSB.Western.Hemisphere.Ale";2;1,071;1,018;67;7;11
"Test.IPA";2;1,063;1,012;54;6,6;7
"Evil.Twin";2;1,071;1,018;48;6,9;15
"All.Grain.IPA...California.Ale.Yeast";2;1,071;1,017;65;7,1;12
"Blackberry.Red.Ale";4;1,052;1,013;22;5,1;14
"Belgian.IPA.3";2;1,066;1,016;53;6,5;7
"ATK.IPA";2;1,069;1,017;69;6,8;8
"Steve.s.Pale.Ale";2;1,065;1,012;62;6,9;9
"San.Gabriel.IPA";2;1,061;1,014;62;6,2;12
"Untitled.American.IPA";2;1,065;1,016;49;6,4;14
"Chinook.IPA.4";2;1,064;1,018;54;6;7
"Mad.Dog.IPA";2;1,069;1,017;69;6,8;8
"Carapils.liberty.ale";2;1,068;1,018;61;6,6;8
"Limon.Heffe";1;1,052;1,011;11;5,3;3
"Pioneer.Ale";2;1,072;1,017;65;7,2;12
"Lemon.SamuraIPA";2;1,057;1,014;69;5,6;6
"Kiwi.Express.1";2;1,06;1,013;65;6,1;6
"Late.Summer.IPA";2;1,071;1,01;63;7,9;12
"Primhovda.Hefeweizen";1;1,049;1,013;12;4,7;2
"Mad.Dog.IPA.1";2;1,069;1,017;69;6,8;8
"Ahtanum.Simcoe.IPA";2;1,064;1,017;62;6,2;8
"Flying.Dog.Raging.Bitch.Inspired";2;1,058;1,015;49;5,6;10
"DanK.IPA.the.13th";2;1,063;1,013;62;6,6;7
"Dr.Ropata.s.Pale.Ale";2;1,059;1,018;60;5,4;7
"Indy.Pale.Ale";2;1,058;1,016;67;5,5;7
"Adirondack.Chair.IPA";2;1,059;1,012;57;6,1;9
"Let.s.Get.Small...Amarillo";2;1,062;1,015;66;6,2;6
"iPA.One.Point.Oh";2;1,067;1,017;49;6,6;7
"Rye.American.IPA";2;1,062;1,012;52;6,6;6
"B√.rs.H√.kan.Real.APA";2;1,075;1,01;61;8,4;9
"Hop.Hog.Clone";2;1,066;1,012;66;7;7
"BE.Hop.Venom";2;1,073;1,011;61;8,2;8
"Canadian.IPA";2;1,063;1,016;67;6,2;8
"Combat.Hopkido.IPA";2;1,066;1,017;57;6,5;8
"BMW.Wheat";1;1,051;1,013;14;5;4
"Wife.weizen..W1.";1;1,052;1,013;13;5,1;3
"Bearded.Nebula.IPA";2;1,062;1,017;69;5,9;7
"Weizen";1;1,051;1,013;13;5;2
"IRA";4;1,05;1,014;24;4,8;16
"Pat.s.IPA";2;1,067;1,017;64;6,6;8
"Dat.stressy.AIPA";2;1,062;1,015;69;6,2;7
"Last.Minute.IPA";2;1,069;1,017;66;6,8;8
"Why.PA";2;1,067;1,013;58;7;6
"West.Coast.Blaster";2;1,066;1,016;50;6,4;7
"Little.Puff.Smoked.IPA";2;1,068;1,017;70;6,7;6
"Blueberry.Hefe";1;1,044;1,011;12;4,3;3
"X2..Feayor";3;1,048;1,012;36;4,7;5
"Hop.Solo..Mosaic.Single.Hop.IPA.";2;1,061;1,014;62;6,2;10
"CBS.American.IPA";2;1,059;1,014;53;5,9;10
"Bell.s.Two.Hearted.all.grain";2;1,058;1,014;61;5,8;7
"Honey.Rye.IPA";2;1,066;1,017;54;6,4;10
"Belgian.IPA..10g.";2;1,066;1,016;52;6,6;7
"English.Amber.Ale";4;1,05;1,013;20;4,7;11
"CH.IPA.4...Mod.6";2;1,066;1,016;48;6,5;11
"Sierra.Madre";2;1,056;1,013;56;5,6;8
"Downtown.IPA..2";2;1,059;1,015;67;5,8;10
"Gnarly.IPA";2;1,068;1,016;52;6,8;8
"Mrod.IPA";2;1,06;1,016;55;5,7;11
"OtPA";2;1,069;1,017;49;6,7;12
"Riki.Tiki.Simcoe.IPA";2;1,06;1,016;62;5,8;8
"Osama.IPA";2;1,059;1,014;63;5,9;9
"West.Coast.Style.IPA";2;1,061;1,016;47;5,9;7
"Chinook.Citra.IPA...Lower.OG";2;1,061;1,012;50;6,5;8
"Beauty.and.the.Yeast";1;1,051;1,013;12;5;3
"LagerWanker";3;1,05;1,011;38;5;3
"Quadruple.J.Red.IPA";2;1,063;1,015;40;6,3;15
"Cascade.Citra.IPA..2013.04.06.";2;1,062;1,015;64;6,2;11
"Irish.Red.Ale..2";4;1,055;1,014;20;5,4;17
"Shadow.IPA";2;1,064;1,017;68;6,1;14
"Grapefruit.Summer.IPA";2;1,065;1,017;58;6,3;7
"Dawg.Weiss";1;1,048;1,013;12;4,5;6
"IPA.10";2;1,071;1,018;56;6,9;9
"Pinto.IPA";2;1,066;1,017;64;6,4;8
"Mrs.Velkyal.s.Session.Beer";4;1,048;1,014;20;4,5;15
"K.s.Mystery.Mix.IPA";2;1,058;1,015;43;5,7;6
"Hell.of.a.Day.IPA";2;1,065;1,014;63;6,7;9
"Shiva.Kitty";2;1,059;1,015;51;5,8;8
"The..C..Word.IPA";2;1,073;1,015;63;7,6;12
"Hoppy.Hour";2;1,07;1,018;62;6,8;14
"Snuggles.Hefe.V2..2010.08.06.version.";1;1,048;1,011;11;4,8;5
"Karnowski";2;1,065;1,016;50;6,4;6
"Belma.SMaSH";2;1,058;1,014;68;5,8;6
"Rupert.IPA";2;1,072;1,017;52;7,1;13
"Hefeweizen.I";1;1,052;1,012;11;5,2;3
"Mosaic.IPA.1";2;1,06;1,013;58;6,1;10
"Cloud.9.IPA";2;1,063;1,018;44;5,9;9
"O..My.Soul";2;1,07;1,016;67;7;8
"Misfit.Love";4;1,052;1,012;24;5,2;16
"Double.IPL";2;1,07;1,017;55;6,8;9
"Rye.Centennial.IPA";2;1,07;1,017;59;6,9;8
"Untitled.Irish.Red.Ale.153716";4;1,045;1,012;21;4,3;14
"wastafeson";1;1,052;1,013;10;5,1;2
"El.Hefe.1";1;1,051;1,012;13;5,1;7
"Ruby.Mosaic";2;1,063;1,016;50;6,1;6
"Bee.Cave.Hefeweizen";1;1,051;1,013;12;4,9;3
"Bells.Two.Hearted";2;1,067;1,013;46;7;6
"Bells.Two.Hearted.Galaxy.DH";2;1,067;1,013;46;7;6
"Eidelweiss..BBS.";1;1,051;1,013;13;5;5
"An.American.IPA.in.London";2;1,068;1,017;65;6,6;9
"X.114.Clone";2;1,068;1,017;64;6,7;9
"Watermelon.Weizenbier";1;1,049;1,013;11;4,8;3
"Deep.Red.Ale";2;1,056;1,013;44;5,6;11
"Spapoop.IPA";2;1,068;1,018;57;6,6;8
