"";"X";"Style";"OG";"FG";"IBU";"ABV";"Color"
"401";"Pisgah.Pale.Clone";2;1,074;1,018;71;7,4;8
"402";"Russian.River.Pliny.the.Elder";2;1,074;1,017;186;7,4;5
"403";"Hogan.the.Coon.Dog";2;1,06;1,011;61;6,3;3
"404";"Jefferson";2;1,06;1,016;70;5,8;4
"405";"EMA.American.Pale..26L.batch..v1.2";2;1,059;1,009;101;6,6;7
"406";"Gueymano.s.Genesis.IPA";2;1,067;1,016;117;6,8;7
"407";"Stuff..Em.Up.the.Guns";2;1,061;1,009;54;6,9;6
"408";"White.Dog.Wit.clone";1;1,065;1,016;12;6,5;5
"409";"zombie.dust.clone";2;1,051;1,016;82;4,6;9
"410";"Maris.Motueka.Smash";2;1,054;1,014;50;5,3;4
"411";"Mosaic.Pale.Ale";2;1,065;1,009;53;7,3;6
"412";"Light.Speed.IPA";2;1,07;1,017;86;6,9;7
"413";"Weissbier.Estiu.2014";1;1,052;1,013;9;5,1;2
"414";"Citra.Black.IPA.1";2;1,071;1,015;64;7,4;41
"415";"Kiwi.Express";2;1,067;1,019;70;6,4;9
"416";"Enkel.Mango.IPA";2;1,062;1,016;42;6,1;4
"417";"Hoppily.Ever.After.1";2;1,065;1,016;71;6,4;8
"418";"X.2.14..BrewCrate.s.Resolution.Red";4;1,054;1,008;13;6;13
"419";"Stouts.Are.The.Best";2;1,061;1,015;37;5,9;5
"420";"Day.Rate.Black.IPA";2;1,066;1,016;69;6,5;35
"421";"Ace.of.Spades...Black.IPA";2;1,069;1,016;62;6,9;35
"422";"MoreBeer.German.Hefeweizen";1;1,053;1,014;14;5,1;3
"423";"KatastIPA";2;1,066;1,016;101;6,5;9
"424";"Bells.Two.Hearted.Clone";2;1,066;1,017;44;6,4;6
"425";"El.Dorado.IPA.1";2;1,063;1,012;61;6,7;6
"426";"Earl.Grey.IPA..Gunnamatta.inspired.";2;1,066;1,016;52;6,6;8
"427";"Knot.Mine";2;1,07;1,018;40;6,9;9
"428";"IPA.2014..1";2;1,065;1,01;57;7,2;7
"429";"Bush.Irish.Red";4;1,052;1,014;20;5,1;16
"430";"Rudeboy.Red.Ale";4;1,051;1,014;24;4,9;18
"431";"German.Pils.1";3;1,048;1,012;41;4,8;3
"432";"Setoff.Summer.IPA";2;1,067;1,016;51;6,7;13
"433";"Silverberry.Pils";3;1,047;1,009;34;5;3
"434";"Cobb.s.IPA";2;1,06;1,018;59;5,6;10
"435";"Linwood.IPA";2;1,063;1,016;56;6,2;9
"436";"American.IPA.v1";2;1,074;1,018;69;7,3;10
"437";"Christina.s.GF.Pale.Ale";2;1,061;1,014;61;6,1;7
"438";"West.by.Midwest.IPA";2;1,062;1,015;60;6,2;7
"439";"Rocky.Island.Weiss.ass";1;1,048;1,013;12;4,7;7
"440";"Storm.of.the.Century";2;1,071;1,018;64;6,9;7
"441";"Irish.Red.2";4;1,049;1,013;23;4,7;12
"442";"Red.Duffer";4;1,045;1,013;27;4,2;13
"443";"Baby.Jake.Ale";4;1,06;1,014;20;6;15
"444";"Ginger.Juggs.Irish.Red";4;1,052;1,013;24;5,2;16
"445";"Kaiser.Franz";3;1,045;1,011;29;4,5;2
"446";"Micro.Pilsner";3;1,045;1,011;28;4,4;2
"447";"Vitamin.C";2;1,061;1,015;60;6;7
"448";"Regular.Red";4;1,056;1,013;22;5,7;16
"449";"X0.Day.IPA";2;1,068;1,014;55;7,1;7
"450";"Infidel..2011.05.021.version.";2;1,067;1,016;58;6,7;9
"451";"A.Captain.s.IPA";2;1,065;1,016;59;6,3;8
"452";"Legacy.IPA";2;1,071;1,018;62;6,9;6
"453";"Bawlmer.Rye.IPA";2;1,063;1,016;59;6,2;7
"454";"Single.hop.single.grain.IPA";2;1,058;1,015;68;5,6;6
"455";"Bearwallow.IPA.I";2;1,062;1,011;66;6,7;9
"456";"Snoo.Snoo.IPA";2;1,073;1,017;58;7,3;6
"457";"Brent.s.India.Pale";2;1,068;1,016;43;6,7;8
"458";"Golden.Cent.Amo.Ale";2;1,063;1,016;59;6,2;7
"459";"Batch.79...Vintage.Hills.Celebration.IPA";2;1,064;1,013;67;6,7;10
"460";"Why.d.You.Only.Call.Me.When.You.re.Rye";2;1,058;1,014;70;5,8;7
"461";"Freedom.XPA";2;1,062;1,015;48;6,2;7
"462";"Possum.Trot.Cent.Amo.Ale";2;1,064;1,016;46;6,3;6
"463";"Wedding.IPA";2;1,063;1,017;68;6;7
"464";"Red.Ale.Brewer.s.Best";4;1,05;1,013;19;5;13
"465";"Single.Malt.IPA";2;1,057;1,015;48;5,5;6
"466";"Snuggles.Pils";3;1,048;1,012;34;4,7;2
"467";"Quotidian.IPA.version.2.10gal";2;1,064;1,016;41;6,3;10
"468";"Red.Beard.Ale";4;1,047;1,013;23;4,5;14
"469";"Lost.in.Translation";2;1,065;1,017;65;6,3;6
"470";"Celebration.Clone..2012.01.22.version.";2;1,07;1,018;61;6,8;11
"471";"Accidental.Lie.in..May.16th.";2;1,058;1,014;70;5,7;6
"472";"Bell.s.Two.Hearted.Ale.Clone";2;1,07;1,01;67;7,9;7
"473";"Irish.Red.3";4;1,054;1,014;18;5,2;14
"474";"German.Pilsner.2";3;1,05;1,012;43;5;2
"475";"Diamond.Not.10.06.13";2;1,06;1,014;49;6;10
"476";"Mostly.All.Amarillo.IPA";2;1,066;1,018;68;6,3;8
"477";"Big.Biff.Apricot.IPA";2;1,061;1,015;61;6;7
"478";"Funk.Citra";2;1,059;1,012;55;6,1;7
"479";"Hefeweisen.v1";1;1,051;1,013;12;5;3
"480";"Beach.Wheat";1;1,051;1,014;15;4,8;2
"481";"Prunches.Michale..1";4;1,046;1,012;22;4,5;14
"482";"Glory.Hole";2;1,07;1,013;68;7,4;12
"483";"Midwest.Irish.Ale";4;1,049;1,012;20;4,8;12
"484";"Crazy.Squirrel.IPA";2;1,063;1,017;48;6;7
"485";"X51.weeks.IPA";2;1,065;1,015;66;6,5;6
"486";"Falconer.s.Flight.IPA";2;1,063;1,017;53;6;7
"487";"ipah";2;1,063;1,013;66;6,6;7
"488";"IPA.2";2;1,061;1,015;49;6;10
"489";"Polar.Vortex.IPA";2;1,061;1,015;49;6,1;6
"490";"BS5.IPA.with.Simcoe";2;1,069;1,016;60;6,9;9
"491";"Mosiac.iPa";2;1,066;1,016;64;6,6;11
"492";"Irish.Red.Ale..St..Patty.s.Day.2012.";4;1,055;1,014;23;5,4;13
"493";"Keystone.American.IPA";2;1,057;1,013;69;5,8;6
"494";"West.by.Midwest.IPA.2";2;1,06;1,016;53;5,8;7
"495";"Space.Conquistador";2;1,06;1,016;60;5,7;10
"496";"Slice.of.the.Black..lighter.";2;1,069;1,016;51;7;14
"497";"Pauls.Irish";4;1,049;1,013;18;4,7;13
"498";"Drakes.1500.Clone";2;1,056;1,013;59;5,6;9
"499";"Citra.Session.IPA";2;1,057;1,016;46;5,4;7
"500";"Nugget.IPA";2;1,068;1,018;68;6,6;6
"501";"Festivus.Ale";2;1,07;1,017;65;7,1;11
"502";"Hoppy.Medium.IPA";2;1,068;1,017;55;6,7;7
"503";"Less.Bitter..2011.05.12.version.";2;1,064;1,016;59;6,3;6
"504";"Bombay.IPA.1b";2;1,06;1,015;54;6;7
"505";"Small.batch.Columbus.Pale";2;1,066;1,016;56;6,4;10
"506";"The.Annexation.of.Puerto.Rico.IPA";2;1,061;1,014;66;6,1;6
"507";"Fresh.Squeezed";2;1,065;1,015;65;6,5;9
"508";"Passi√≥";1;1,049;1,012;13;4,8;4
"509";"R√.llimets√.n.Vaiettu.Salaisuus....hopburst...";2;1,064;1,016;60;6,3;9
"510";"Mike.s.Smoked.Red";4;1,049;1,014;22;4,6;12
"511";"IPA.7.2015";2;1,074;1,017;43;7,4;6
"512";"Tyler.s.All.Grain.Irish.Red.Ale";4;1,048;1,014;22;4,5;15
"513";"Yep..All.Citra.Again..it.s.easy";2;1,06;1,015;49;5,9;7
"514";"IPA.137";2;1,073;1,011;66;8,2;7
"515";"Bass.Lake.Haze..n.Hops";2;1,057;1,015;50;5,5;11
"516";"Hellbraun.Hefeweizen.v2";1;1,05;1,013;12;4,9;5
"517";"Jeffy.the.heffe";1;1,052;1,013;14;5;2
"518";"Wheat";1;1,05;1,014;14;4,8;5
"519";"Gylatic.Pils";3;1,049;1,012;27;4,8;2
"520";"IPA.in.Shed";2;1,07;1,01;47;7,8;7
"521";"Not.Another.IPA";2;1,066;1,013;67;7;8
"522";"Bohemian.Rap.Sudy";3;1,05;1,012;33;5;2
"523";"Regal.Beagle.IPA";2;1,06;1,015;63;5,9;6
"524";"Dead.Ringer.IPA..NB";2;1,071;1,018;51;6,9;7
"525";"Lost.Comet";2;1,061;1,015;51;5,9;7
"526";"Goosey.MacGooserton.Irish.Red.AG";4;1,046;1,012;22;4,5;13
"527";"AG.Dead.Ringer";2;1,072;1,01;67;8,1;7
"528";"Rhino.Fart.2";2;1,062;1,015;49;6,2;11
"529";"Vipa";2;1,069;1,016;55;6,9;11
"530";"Six.and.Tangent";2;1,061;1,011;60;6,5;7
"531";"Golden.Amo.Cas.Ale";2;1,063;1,015;52;6,3;7
"532";"Irish.Red.Ale.1";4;1,049;1,011;21;5;10
"533";"Zythos.IPA";2;1,058;1,014;64;5,7;7
"534";"Red.on.Head";2;1,059;1,015;66;5,8;13
"535";"TFC..2.1";2;1,068;1,018;55;6,6;9
"536";"Got.to.use.up.this.Citra";2;1,06;1,015;49;5,9;7
"537";"Palisade.IPA";2;1,063;1,017;60;6;7
"538";"Hefe.50..Split.Batch.";1;1,051;1,013;12;5;5
"539";"Zajebiste.piwo.Kuby.2.HopSaaza7";1;1,047;1,012;12;4,6;3
"540";"The.Native";4;1,052;1,012;23;5,2;13
"541";"R√.yslimoen.IPA.v3...batch..06";2;1,056;1,015;68;5,3;8
"542";"All.Hopped.Up.IPA";2;1,071;1,017;69;7,1;7
"543";"Hubschrauber";1;1,052;1,014;11;5;3
"544";"X16x.10.30.Pilsner";3;1,05;1,01;26;5,2;2
"545";"Mans.Red.Flower";2;1,064;1,015;40;6,4;9
"546";"Red.Ale";4;1,05;1,012;20;5;13
"547";"IPA..1.1";2;1,062;1,016;53;6,1;6
"548";"Leftover.IPA";2;1,07;1,016;61;7;9
"549";"Hell.Bent.Pils...Kolsch.Yeast..2011.06.19.version.";3;1,05;1,013;40;4,8;2
"550";"Tron.s.Irish.Red.nr.1";4;1,049;1,014;23;4,5;15
"551";"Tight.Lines.IPA..2011.04.29.version.";2;1,068;1,018;69;6,6;6
"552";"Blind.Hawg";2;1,061;1,014;55;6,1;6
"553";"Down.Under.IPA..O.Connor.s.";2;1,057;1,014;59;5,6;7
"554";"Two.Hearted.Clone.Attempt";2;1,062;1,016;51;6;6
"555";"Baby.Blues.Away.IPA";2;1,064;1,016;57;6,3;7
"556";"Danya.s.Day.Off";2;1,059;1,014;61;5,9;6
"557";"East.Coast.IPA.with.Meyer.Lemon";2;1,066;1,017;56;6,5;7
"558";"BC13.Green.Tooth.IPA";2;1,068;1,017;44;6,7;7
"559";"Tight.Lines.IPA";2;1,068;1,018;69;6,6;6
"560";"Wedding.wheat";1;1,051;1,014;15;4,8;2
"561";"Pacific.IPA";2;1,064;1,015;48;6,4;7
"562";"San.Diego.IPA";2;1,063;1,013;55;6,5;6
"563";"Fine.Mountain.Lilikoi.IPA";2;1,068;1,016;65;6,8;8
"564";"Height.Herup.Exalts.It.Irish.Ale";4;1,053;1,014;22;5,1;16
"565";"Cen.Am.Ale";2;1,064;1,016;44;6,3;6
"566";"Easy.Hefe";1;1,049;1,013;14;4,7;3
"567";"Possum.Trot.Replay.Cent.Amo.Ale";2;1,064;1,016;45;6,3;6
"568";"American.IPA.1";2;1,069;1,018;40;6,6;8
"569";"Hopnormous.Double.IPA";2;1,068;1,018;44;6,6;8
"570";"Dead.Ringer.IPA..BIAB...Small.Batch.";2;1,063;1,016;46;6,2;8
"571";"McNelis..Irish.Red";4;1,058;1,014;22;5,7;15
"572";"Mela.Red.Ale";4;1,047;1,014;17;4,3;12
"573";"German.Pilsner..1";3;1,048;1,013;27;4,6;2
"574";"≈.ywiec";3;1,048;1,013;30;4,6;3
"575";"March.IPA";2;1,062;1,016;69;6;10
"576";"Ruaidr√.";4;1,052;1,013;27;5,1;14
"577";"DownUnder";2;1,07;1,017;59;7,1;7
"578";"MO.Amarillo.SMASH";2;1,061;1,015;56;6;6
"579";"ipa.1";2;1,061;1,014;65;6,1;7
"580";"Siuslaw.IPA";2;1,062;1,015;47;6,3;8
"581";"VandalEyes.PA";2;1,07;1,017;53;6,9;8
"582";"Dead.Ringer.IPA.2";2;1,067;1,017;55;6,6;7
"583";"Spankies.German.Pils";3;1,05;1,01;36;5,2;2
"584";"Single.Malt.IPA.1";2;1,071;1,017;62;7,1;6
"585";"Roll.on.Columbia";2;1,064;1,017;63;6,2;12
"586";"Centennial.Delight";2;1,066;1,016;52;6,6;7
"587";"Untitled.Weizen.Weissbier.162387";1;1,052;1,013;12;5,1;5
"588";"Late.Night.IPA";2;1,057;1,011;50;6;8
"589";"sorta.kinda.NB.Patersbier";3;1,049;1,012;25;4,8;2
"590";"Brewers.Best..Red.Ale.Kit";4;1,05;1,012;20;5;13
"591";"Half.hung.Red";4;1,051;1,013;22;5;13
"592";"Red.Ale.1";4;1,05;1,014;24;4,7;12
"593";"Flying.Monkey...Smashbomb.Atomic.IPA.Clone";2;1,064;1,017;68;6,2;11
"594";"All.Citra.Again";2;1,06;1,015;49;5,9;7
"595";"X.53.IPA";2;1,063;1,012;63;6,7;7
"596";"Polaris";3;1,049;1,013;43;4,8;2
"597";"Vienna.IPA..mk.4";2;1,06;1,012;62;6,3;9
"598";"Fresh.NZAPA";2;1,06;1,014;44;6;6
"599";"Brewer.s.Best.Red.Ale";4;1,052;1,012;25;5,1;13
"600";"Traditional.Hefe";1;1,051;1,013;12;5;3
"601";"Bridgeport.IPA";2;1,058;1,016;46;5,5;7
"602";"Judges.Pick.IPA";2;1,059;1,013;57;6;7
"603";"Bryan.s.Irish.Red";4;1,049;1,012;23;4,9;12
"604";"SMSH..Opal.";3;1,048;1,012;31;4,8;2
"605";"Columbus.IPA.1";2;1,063;1,015;48;6,3;6
"606";"Hefe.1";1;1,048;1,012;13;4,7;3
"607";"DTs.Debauchery.Irish.Ale";4;1,059;1,013;22;6;14
"608";"Carlsberg.Clone";3;1,049;1,012;26;4,8;2
"609";"Melfstar.Red";4;1,051;1,013;22;5;12
"610";"German.Pils.Wedding.Edition";3;1,048;1,01;28;5;3
"611";"Zombie.Dust.Variant";2;1,06;1,014;68;6;9
"612";"HGIPA";2;1,063;1,013;57;6,5;8
"613";"Pilsy";3;1,047;1,012;26;4,6;3
"614";"DanK.IPA.20.";2;1,061;1,013;52;6,4;9
"615";"Boulevard.Irish.Ale.Clone";4;1,053;1,011;22;5,5;16
"616";"Wedding.Weizen";1;1,048;1,013;10;4,7;2
"617";"Summer.Solstice.Pils";3;1,049;1,011;36;4,9;2
"618";"Clear.Day";3;1,05;1,013;36;4,8;2
"619";"Inbred.Red";4;1,05;1,013;19;4,8;14
"620";"Zeus.on.the.Summit.with.a.Citra.Amarillo";2;1,07;1,017;67;6,9;8
"621";"Golden.Citra.Ale";2;1,063;1,016;58;6,2;7
"622";"Eire.Ay";4;1,054;1,014;21;5,3;13
"623";"American.IPA.2";2;1,06;1,016;65;5,8;11
"624";"Resolved.IPA";2;1,065;1,016;62;6,4;8
"625";"MYIPA";2;1,067;1,016;54;6,7;9
"626";"Weissbier..Nelson.Sauvin.Hopped.";1;1,05;1,013;13;4,9;3
"627";"Cascade.IPA.2";2;1,067;1,01;48;7,4;9
"628";"DelaHefeweizen";1;1,05;1,012;11;5,1;3
"629";"Damberts.3.0.IPA..2011.07.07.version.";2;1,063;1,015;62;6,4;6
"630";"pelirrojo";4;1,053;1,013;24;5,2;15
"631";"Chinook.IPA.2";2;1,068;1,018;69;6,6;6
"632";"Citra.Ale..OR.Water.";2;1,063;1,016;50;6,2;6
"633";"Midwest.Supplies..Irish.Red.Ale.Kit";4;1,049;1,01;25;5,1;12
"634";"Amarillo.Ale.with.Victory.Malt..2012.07.28.version.";2;1,065;1,016;65;6,4;8
"635";"Amarillo.by.morning";2;1,061;1,016;66;5,9;9
"636";"Sam.Adam.Noble.Clone";3;1,047;1,011;38;4,7;2
"637";"The.Pils.that.Ills";3;1,049;1,011;36;5;2
"638";"Cascade.IPA.3";2;1,061;1,015;64;6;7
"639";"Magic.Elf";2;1,068;1,015;41;6,9;8
"640";"Modified.Midwest.Irish.Red";4;1,048;1,013;17;4,6;11
"641";"SorGood.IPA";2;1,065;1,016;62;6,4;6
"642";"PALIPA";2;1,062;1,015;58;6,2;12
"643";"Parents.in.Town";2;1,06;1,018;66;5,5;7
"644";"Midwest.s.Irish.Red.Ale";4;1,049;1,012;23;4,8;12
"645";"The.Pink.Elephant";1;1,05;1,013;12;4,9;3
"646";"Raspberry.Pilsner";3;1,048;1,011;29;4,8;5
"647";"Penney.Pils";3;1,049;1,01;39;5,2;3
"648";"El.Hef.e";1;1,052;1,013;15;5,1;3
"649";"Midwest.Supplies..Irish.Red.Ale.Kit.1";4;1,049;1,013;25;4,7;12
"650";"Golden.Cent.Amo.Cas.Ale";2;1,063;1,016;58;6,2;7
"651";"Too.Many.Pils";3;1,047;1,012;40;4,7;2
"652";"X141...Irish.Red";4;1,049;1,013;27;4,7;18
"653";"Julie.and.Dan.Pale.Ale";2;1,072;1,017;46;7,2;10
"654";"X62.Truck.Irish.Red.Ale";4;1,049;1,013;21;4,7;12
"655";"Modified.Two.Hearted.Clone";2;1,074;1,011;57;8,3;7
"656";"Standard.IPA";2;1,066;1,016;59;6,6;6
"657";"X7th.Paramount.Brew";2;1,063;1,016;63;6,2;8
"658";"Oaken.Fist.2015";2;1,062;1,016;48;6,1;11
"659";"R√.yslimoen.IPA...batch..01";2;1,06;1,014;56;6;8
"660";"Green.Eyes";4;1,049;1,011;20;5;17
"661";"Joe.s.Irish.Red.Ale";4;1,058;1,012;27;6,1;15
"662";"Ripley.s.Irish.Red";4;1,052;1,012;23;5,3;15
"663";"Amber.IPA";2;1,061;1,015;59;6;10
"664";"Bullcity.Hefe";1;1,046;1,012;14;4,5;3
"665";"Fresh.Squeezed.IPA";2;1,062;1,015;63;6;10
"666";"Noble.Pils";3;1,044;1,011;42;4,3;2
"667";"December.Cent.Amo.Ale";2;1,064;1,016;58;6,3;6
"668";"Haller.Heffy";1;1,047;1,012;15;4,6;5
"669";"Kornuit";3;1,05;1,011;39;5,1;2
"670";"Whitey";1;1,051;1,013;12;5;2
"671";"PrimaDonna.Pils";3;1,048;1,012;42;4,7;2
"672";"Poppy.s.Irish.Red";4;1,045;1,012;23;4,3;12
"673";"The.Shoe";4;1,048;1,013;23;4,6;13
"674";"SHMIPA";2;1,066;1,016;42;6,6;8
"675";"Binary.Pils";3;1,05;1,012;29;5;2
"676";"Ugly.Stick";2;1,072;1,017;52;7,2;8
"677";"Szabad.S√≥lyom";2;1,064;1,014;52;6,5;6
"678";"Itrus.Pale.Ale";2;1,065;1,016;62;6,3;8
"679";"Experimental.Irish";4;1,049;1,013;19;4,7;12
"680";"Dual.Crystal.Citra.Ale";2;1,064;1,016;50;6,3;6
"681";"Perfect.day.IPA";2;1,07;1,018;61;6,8;8
"682";"IPAlone";2;1,06;1,017;45;5,7;7
"683";"South.Coast.IPA";2;1,059;1,011;62;6,3;6
"684";"Finger.Roll.IPA";2;1,068;1,015;52;7;9
"685";"Hoppy.Seconds..Citra.IPA.";2;1,069;1,016;67;7;8
"686";"Juicy.Juice";2;1,069;1,017;57;6,7;6
"687";"IPA.experiment.11.7.2015";2;1,067;1,014;66;7;8
"688";"Eight.Ounce.IPA";2;1,067;1,015;55;6,8;7
"689";"Pine.Barrens.IPA";2;1,065;1,015;55;6,5;8
"690";"Citrus.IPA.2016";2;1,068;1,016;67;6,8;6
"691";"Late.Addition.IPA";2;1,057;1,014;69;5,6;8
"692";"Ten4";2;1,063;1,015;55;6,3;6
"693";"Fat.Woody.s.Irish.Red";4;1,047;1,012;21;4,6;9
"694";"Naughty.Leprechaun";4;1,049;1,013;20;4,7;14
"695";"Rari.s.Amarillo.IPA..5g.";2;1,062;1,015;53;6,2;7
"696";"O.leary.s.No.touch.F.en.Red";4;1,05;1,014;23;4,7;12
"697";"Amarillo.Post.Road.IPA";2;1,065;1,016;69;6,4;14
"698";"Simcoe.IPA.1";2;1,067;1,017;66;6,6;12
"699";"Citra.Amarillo.Centennial.IPA";2;1,058;1,016;54;5,6;7
"700";"Beerculese";2;1,061;1,016;46;5,9;6
"701";"Magnum.Amarillo.IPA";2;1,063;1,015;64;6,3;10
"702";"Brewer.s.Best.Red.Ale.1";4;1,051;1,013;23;5;13
"703";"Irish.Red..12";4;1,049;1,013;25;4,7;12
"704";"ipa";2;1,059;1,014;43;5,9;10
"705";"Draugr.IAPA";2;1,065;1,016;59;6,4;7
"706";"Irish.Red.4";4;1,05;1,014;22;4,7;12
"707";"Two.Hearts.Together.Ale";2;1,056;1,014;58;5,5;7
"708";"May.IPA";2;1,059;1,015;62;5,8;11
"709";"Cascade.IPA.4";2;1,068;1,017;70;6,7;6
"710";"Small.Round.Oranges";2;1,058;1,014;57;5,8;6
"711";"R.F..Hefe.II";1;1,05;1,013;12;4,9;3
"712";"Misfit.Red";4;1,05;1,014;22;4,8;15
"713";"Firewater.IPA.5g";2;1,074;1,017;68;7,4;7
"714";"Killick.s.Almost.Single.Malt.India.Pale.Ale.v2";2;1,072;1,017;54;7,2;6
"715";"Golden.Citra.Ale..2012.08.11.version.";2;1,063;1,016;57;6,2;7
"716";"SHG.Columbus";2;1,066;1,017;56;6,5;9
"717";"X5.Alive.Wheat";1;1,05;1,013;13;4,8;3
"718";"London.Cent.Amo.Ale";2;1,063;1,016;49;6,2;7
"719";"Citra.Simcorillo.IPA";2;1,071;1,018;63;7;8
"720";"Middle.Road.IPA";2;1,068;1,016;57;6,8;8
"721";"Less.Bitter";2;1,064;1,016;59;6,3;8
"722";"TNT.s.Cascadian.Ale";2;1,065;1,016;43;6,4;7
"723";"BRP007.red.ale.all.grain.starter.trial";4;1,051;1,012;23;5,1;13
"724";"Ginger.Kid";4;1,048;1,013;23;4,6;13
"725";"CritraAm.Ale";2;1,064;1,016;48;6,3;6
"726";"DK.s.Original.IPA..Hog.s.Neck.Brewing.";2;1,069;1,013;54;7,4;9
"727";"Apollo.Ale";2;1,057;1,015;67;5,5;7
"728";"Red.Clover";4;1,058;1,012;27;6,1;13
"729";"X.030..Golden.Bull";2;1,069;1,011;60;7,5;7
"730";"Citra.IPA";2;1,059;1,018;40;5,4;8
"731";"weizen";1;1,05;1,012;13;5;3
"732";"IPA.Nima.2";2;1,066;1,015;68;6,6;10
"733";"Pilsener";3;1,05;1,013;35;4,8;2
"734";"Pilsner.1";3;1,05;1,013;36;4,8;2
"735";"Jag.off.Jaggery.IPA";2;1,06;1,014;67;6;11
"736";"X.017.Seat.of.my.Pants.IPA";2;1,071;1,01;67;8;9
"737";"Diamond.Not.IPA.9.28.14";2;1,067;1,014;47;6,9;11
"738";"IPA.4";2;1,071;1,016;43;7,2;9
"739";"Ahtanum.Golden.Ale";2;1,063;1,016;62;6,2;7
"740";"Santiam.German.Pilsner";3;1,047;1,012;35;4,6;2
"741";"American.IPA.3";2;1,067;1,017;41;6,5;8
"742";"X16x.10.35.Pilsner";3;1,05;1,01;30;5,2;2
"743";"Blazing.World.from.Modern.Times.beersmith.link";2;1,067;1,017;63;6,6;8
"744";"Nugget.IPA.1";2;1,059;1,015;68;5,8;8
"745";"X.PA";2;1,072;1,018;60;7,1;11
"746";"Smokin.Red";4;1,059;1,012;26;6,1;15
"747";"Hasty.IPA..Oktoberfest.2012.";2;1,061;1,015;59;6;10
"748";"TNT.s.Cascadian.Ale..2011.07.02.version.";2;1,065;1,016;43;6,4;7
"749";"Turtle.Rye.IPA";2;1,063;1,014;58;6,5;8
"750";"Dead.Ringer.IPA.3";2;1,067;1,017;55;6,6;7
"751";"Chewalla.IPA";2;1,067;1,018;40;6,4;8
"752";"Big.Smile.IPA";2;1,061;1,013;55;6,3;10
"753";"Dampfbier";1;1,051;1,01;14;5,3;5
"754";"La.Vie.Boheme";3;1,05;1,011;34;5;2
"755";"Rye.RA";2;1,064;1,015;58;6,5;13
"756";"Big.Smile.IPA.1";2;1,061;1,013;55;6,3;10
"757";"Ginger.Tart";4;1,049;1,013;18;4,7;11
"758";"Golden.Citra.Ale..Dedicated.to.Jim.and.Trish.";2;1,063;1,015;57;6,3;7
"759";"Hopbiscus";2;1,068;1,018;47;6,6;9
"760";"Dublin.Red";4;1,053;1,014;23;5,1;12
"761";"Columbus.IPA.2";2;1,068;1,018;68;6,6;6
"762";"Forrest.IPA";2;1,059;1,012;68;6,2;7
"763";"Rosy.Cheeks";2;1,072;1,01;62;8,1;11
"764";"Hefeweizen.1";1;1,049;1,012;12;4,8;2
"765";"That.Horse...Lager..";3;1,05;1,012;32;4,9;2
"766";"Feral.Hop.Hog.Clone";2;1,058;1,013;45;5,8;6
"767";"Black.IPA.1";2;1,063;1,016;69;6,2;11
"768";"Pilsner";3;1,044;1,011;25;4,3;2
"769";"Amarillo.Ale.with.Victory.Malt";2;1,065;1,016;65;6,4;8
"770";"Business.Time";2;1,068;1,017;59;6,7;12
"771";"Red.Doug";4;1,05;1,013;20;4,8;13
"772";"Captain‚..s.HofbrauÃ..Clone.II";3;1,049;1,012;36;4,8;3
"773";"Rapid.Fire.Wheat.Beer";1;1,044;1,011;11;4,3;3
"774";"Spring.2011.IPA";2;1,068;1,017;52;6,7;7
"775";"El.Hefe";1;1,052;1,013;14;5,1;2
"776";"Double.Cocked.Hefe";1;1,05;1,013;14;4,8;2
"777";"X.2.FuggleNugget.IPA";2;1,059;1,016;65;5,7;8
"778";"Big.Mistake.APA";2;1,064;1,014;60;6,5;12
"779";"En.liten.weissbier";1;1,047;1,011;12;4,8;2
"780";"Cascade.IPA.5";2;1,073;1,013;66;7,9;8
"781";"Explosive.IPA.Part.Deux";2;1,063;1,017;45;6;6
"782";"PentaBr√.l";2;1,063;1,013;60;6,6;11
"783";"Continuous.IPA";2;1,07;1,01;53;7,8;9
"784";"Danish.Lager";3;1,05;1,012;29;4,9;3
"785";"hoppy.hour.hero";2;1,058;1,015;55;5,6;11
"786";"junior.brown.IPA";2;1,07;1,017;49;6,9;12
"787";"Allen...Dave.s.Excellent.IPA";2;1,064;1,015;67;6,3;9
"788";"Infidel..2012.01.07.version.";2;1,067;1,016;57;6,7;9
"789";"smash";2;1,068;1,016;67;6,8;6
"790";"B2.IPA";2;1,068;1,017;49;6,7;7
"791";"Fast.red";4;1,044;1,012;27;4,2;13
"792";"Angelito¬.s.IPA.Cascade";2;1,071;1,01;52;7,9;10
"793";"Hop.to.conclusions";2;1,057;1,014;65;5,8;10
"794";"Batch.1...NIPA";2;1,057;1,013;53;5,7;7
"795";"IPA.w..Marris.Otter";2;1,074;1,018;51;7,3;14
"796";"Bear.With.Me.IPA";2;1,069;1,015;57;7;7
"797";"Weissbeier";1;1,05;1,013;13;4,9;3
"798";"Red.Mearle.Ale";4;1,055;1,014;25;5,4;14
"799";"One.Hot.Redhead";4;1,049;1,013;24;4,7;13
"800";"Dark.Side..Irish.Red.";4;1,044;1,012;21;4,2;17
"801";"Rakau.Single.Hop.IPA..Group.Project.";2;1,063;1,016;45;6,1;6
"802";"Heinekan.clone..adapted.from.Dave.Line.1978.";3;1,046;1,012;29;4,5;2
"803";"King.Brian.s.Poteen";4;1,05;1,012;28;5,1;11
"804";"BS5.IPA";2;1,061;1,014;47;6,1;8
"805";"X5.G.Citra";2;1,063;1,016;43;6,2;9
